source_file,source_path,workbook_title,mode,question_count,status,issue_summary,issue_examples
0096.xlsx,Assessment Questions/AIE/BIA - 119/POWER-BI Basics/Basic Data Cleaning/Basic Data Cleaning.xlsx,Basic Data Cleaning,structured,20,proper,,
0097.xlsx,Assessment Questions/AIE/BIA - 119/POWER-BI Basics/Basic DAX FUNCTION/_Basic DAX FUNCTION.xlsx,_Basic DAX FUNCTION,structured,20,proper,,
0098.xlsx,Assessment Questions/AIE/BIA - 119/POWER-BI Basics/Basics Visualizations/_Basics Visualizations.xlsx,_Basics Visualizations,structured,20,proper,,
0099.xlsx,Assessment Questions/AIE/BIA - 119/POWER-BI Basics/Dashboard Creation/Dashboard Creation.xlsx,Dashboard Creation,structured,20,proper,,
0100.xlsx,Assessment Questions/AIE/BIA - 119/POWER-BI Basics/Power BI Introduction/Power BI Introduction .xlsx,Power BI Introduction ,structured,20,proper,,
0101.xlsx,"Assessment Questions/AIE/BIA - 119/Tableau Fundamentals/Area chart, Combination Charts, Map/Area chart, Combination Charts, Map.xlsx","Area chart, Combination Charts, Map",structured,20,proper,,
0102.xlsx,"Assessment Questions/AIE/BIA - 119/Tableau Fundamentals/Bar chart, Tree Map, Line Chart/Bar chart, Tree Map, Line Chart.xlsx","Bar chart, Tree Map, Line Chart",structured,20,proper,,
0103.xlsx,Assessment Questions/AIE/BIA - 119/Tableau Fundamentals/Create Calculated Fields/Create Calculated Fields.xlsx,Create Calculated Fields,structured,20,proper,,
0104.xlsx,Assessment Questions/AIE/BIA - 119/Tableau Fundamentals/Create Custom Hierarchies/Create Custom Hierarchies.xlsx,Create Custom Hierarchies,structured,20,proper,,
0105.xlsx,Assessment Questions/AIE/BIA - 119/Tableau Fundamentals/Create Table Calculations/Create Table Calculations.xlsx,Create Table Calculations,structured,20,proper,,
0106.xlsx,"Assessment Questions/AIE/BIA - 119/Tableau Fundamentals/Dashboards creation, Quick Filters/Dashboards creation, Quick Filters.xlsx","Dashboards creation, Quick Filters",structured,20,proper,,
0107.xlsx,"Assessment Questions/AIE/BIA - 119/Tableau Fundamentals/Interface Tour, Data visualization_ Pie chart, Column chart, Bar chart/Interface Tour, Data visualization_ Pie chart, Column chart, Bar chart.xlsx","Interface Tour, Data visualization_ Pie chart, Column chart, Bar chart",structured,20,proper,,
0108.xlsx,Assessment Questions/AIE/BIA - 119/Tableau Fundamentals/Introduction to Business Intelligence & Introduction to Tableau/Introduction to Business Intelligence & Introduction to Tableau.xlsx,Introduction to Business Intelligence & Introduction to Tableau,structured,20,proper,,
0109.xlsx,Assessment Questions/AIE/CDM-AIA-129/IMPLEMENTING DEEP NEURAL NETWORKS/Building neural network model in TF2.0 for MNIST dataset/Building neural network model in TF2.0 for MNIST dataset.xlsx,Building neural network model in TF2.0 for MNIST dataset,structured,20,proper,,
0110.xlsx,Assessment Questions/AIE/CDM-AIA-129/IMPLEMENTING DEEP NEURAL NETWORKS/Introduction to neural networks with tf2.X/Introduction to neural networks with tf2.X.xlsx,Introduction to neural networks with tf2.X,structured,20,proper,,
0111.xlsx,Assessment Questions/AIE/CDM-AIA-129/IMPLEMENTING DEEP NEURAL NETWORKS/Simple deep learning model in Keras (tf2.X)/Simple deep learning model in Keras (tf2.X).xlsx,Simple deep learning model in Keras (tf2.X),structured,20,proper,,
0112.xlsx,Assessment Questions/AIE/CDM-AIA-129/NEURAL NETWORKS/Backpropagation/Backpropagation.xlsx,Backpropagation,structured,20,proper,,
0113.xlsx,Assessment Questions/AIE/CDM-AIA-129/NEURAL NETWORKS/Feed forward algorithm/Feed forward algorithm.xlsx,Feed forward algorithm,structured,20,proper,,
0114.xlsx,Assessment Questions/AIE/CDM-AIA-129/NEURAL NETWORKS/Neural network - core concepts(MSE & RMSE)/Neural network - core concepts(MSE & RMSE).xlsx,Neural network - core concepts(MSE & RMSE),structured,20,proper,,
0115.xlsx,Assessment Questions/AIE/CDM-AIA-129/NEURAL NETWORKS/Neural network - core concepts(Need of activation)/Neural network - core concepts(Need of activation).xlsx,Neural network - core concepts(Need of activation),structured,20,proper,,
0116.xlsx,Assessment Questions/AIE/CDM-AIA-129/NEURAL NETWORKS/Neural network - core concepts(Optimizer)/Neural network - core concepts(Optimizer).xlsx,Neural network - core concepts(Optimizer),structured,20,proper,,
0117.xlsx,Assessment Questions/AIE/CDM-AIA-129/NEURAL NETWORKS/Neural network - core concepts(Weight initialization)/Neural network - core concepts(Weight initialization).xlsx,Neural network - core concepts(Weight initialization),structured,20,proper,,
0118.xlsx,Assessment Questions/AIE/CDM-AIA-129/NEURAL NETWORKS/Structure of neural networks/Structure of neural networks.xlsx,Structure of neural networks,structured,20,proper,,
0119.xlsx,Assessment Questions/AIE/CDM-CVE-146/Image Classification/CNNs with Keras/CNNs with Keras.xlsx,CNNs with Keras,structured,20,proper,,
0120.xlsx,Assessment Questions/AIE/CDM-CVE-146/Image Classification/Convolutional neural networks (CNNs)/Convolutional neural networks (CNNs).xlsx,Convolutional neural networks (CNNs),structured,20,proper,,
0121.xlsx,Assessment Questions/AIE/CDM-CVE-146/Image Classification/Flowers dataset with tf2.X/Flowers dataset with tf2.X.xlsx,Flowers dataset with tf2.X,structured,20,proper,,
0122.xlsx,Assessment Questions/AIE/CDM-CVE-146/Image Classification/Transfer learning in CNN/Transfer learning in CNN.xlsx,Transfer learning in CNN,structured,20,proper,,
0123.xlsx,"Assessment Questions/AIE/CDM-CVE-146/Object detection/Bounding Box regression, labelimg/Bounding Box regression, labelimg.xlsx","Bounding Box regression, labelimg",structured,20,proper,,
0124.xlsx,Assessment Questions/AIE/CDM-CVE-146/Object detection/Methods of Object Detections/Methods of Object Detections.xlsx,Methods of Object Detections,structured,20,proper,,
0125.xlsx,Assessment Questions/AIE/CDM-CVE-146/Object detection/Metrics of Object detection/Metrics of Object detection.xlsx,Metrics of Object detection,structured,20,proper,,
0126.xlsx,Assessment Questions/AIE/CDM-CVE-146/Object detection/Object detection using cv2/Object detection using cv2.xlsx,Object detection using cv2,structured,20,proper,,
0127.xlsx,Assessment Questions/AIE/CDM-CVE-146/Object detection/SSD/SSD.xlsx,SSD,structured,20,proper,,
0128.xlsx,Assessment Questions/AIE/CDM-CVE-146/Object detection/What is Object detection/What is Object detection.xlsx,What is Object detection,structured,20,proper,,
0129.xlsx,Assessment Questions/AIE/CDM-CVE-146/Object detection/YOLO Implementation/YOLO Implementation.xlsx,YOLO Implementation,structured,20,proper,,
0130.xlsx,Assessment Questions/AIE/CDM-NLP-147/Advanced NLP Architectures – From Attention to LLMs/Attention Mechanism in Depth/Attention Mechanism in Depth.xlsx,Attention Mechanism in Depth,structured,20,proper,,
0131.xlsx,Assessment Questions/AIE/CDM-NLP-147/Advanced NLP Architectures – From Attention to LLMs/BERT (Bidirectional Encoder Representations)/BERT (Bidirectional Encoder Representations).xlsx,BERT (Bidirectional Encoder Representations),structured,20,proper,,
0132.xlsx,Assessment Questions/AIE/CDM-NLP-147/Advanced NLP Architectures – From Attention to LLMs/GPT (Generative Pre-trained Transformer)/GPT (Generative Pre-trained Transformer).xlsx,GPT (Generative Pre-trained Transformer),structured,20,proper,,
0133.xlsx,Assessment Questions/AIE/CDM-NLP-147/Advanced NLP Architectures – From Attention to LLMs/Sequence Models Beyond RNNs/Sequence Models Beyond RNNs.xlsx,Sequence Models Beyond RNNs,structured,20,proper,,
0134.xlsx,Assessment Questions/AIE/CDM-NLP-147/Advanced NLP Architectures – From Attention to LLMs/Transformer Architecture/Transformer Architecture.xlsx,Transformer Architecture,structured,20,proper,,
0135.xlsx,Assessment Questions/AIE/CDM-NLP-147/Gen AI & Agentic AI Advanced/Agentic AI frameworks/Agentic AI frameworks.xlsx,Agentic AI frameworks,structured,20,proper,,
0136.xlsx,Assessment Questions/AIE/CDM-NLP-147/Gen AI & Agentic AI Advanced/Building GAN model with TensorFlow/Building GAN model with TensorFlow.xlsx,Building GAN model with TensorFlow,structured,20,proper,,
0137.xlsx,Assessment Questions/AIE/CDM-NLP-147/Gen AI & Agentic AI Advanced/Core concepts of GAN/Core concepts of GAN.xlsx,Core concepts of GAN,structured,20,proper,,
0138.xlsx,Assessment Questions/AIE/CDM-NLP-147/Gen AI & Agentic AI Advanced/GAN applications/GAN applications.xlsx,GAN applications,structured,20,proper,,
0139.xlsx,Assessment Questions/AIE/CDM-NLP-147/Gen AI & Agentic AI Advanced/Hands on Agentic AI/Hands on Agentic AI .xlsx,Hands on Agentic AI ,structured,20,proper,,
0140.xlsx,Assessment Questions/AIE/CDM-NLP-147/Gen AI & Agentic AI Advanced/Hands-on practice/Hands-on practice.xlsx,Hands-on practice,structured,20,proper,,
0141.xlsx,Assessment Questions/AIE/CDM-NLP-147/Gen AI & Agentic AI Advanced/Introduction to GenAI/Introduction to GenAI.xlsx,Introduction to GenAI,structured,20,proper,,
0142.xlsx,Assessment Questions/AIE/CDM-NLP-147/Gen AI & Agentic AI Advanced/Introduction to Variational Autoencoder/Introduction to Variational Autoencoder.xlsx,Introduction to Variational Autoencoder,structured,20,proper,,
0143.xlsx,Assessment Questions/AIE/CDM-NLP-147/Gen AI & Agentic AI Advanced/RAG vs Workflow vs Agentic Ai/RAG vs Workflow vs Agentic Ai.xlsx,RAG vs Workflow vs Agentic Ai,structured,20,proper,,
